ID,Gloss,LGR,Meaning,Glottocode
apah1238_1,1,false,first person,apah1238
apah1238_2,2,false,second person,apah1238
apah1238_3,3,false,third person,apah1238
apah1238_4,POSS,true,possessive,apah1238
apah1238_5,ADV,true,adverbial,apah1238
apah1238_6,ANA,false,(unclear),apah1238
apah1238_7,ATTR,false,stative,apah1238
apah1238_8,BEN ,true,benefactive,apah1238
apah1238_9,CAUSE,false,cause,apah1238
apah1238_10,CLASS,false,(unclear),apah1238
apah1238_11,COMPL,false,completive,apah1238
apah1238_12,CONJ,false,conjunction,apah1238
apah1238_13,DEI,false,(unclear),apah1238
apah1238_14,DEM,true,demonstrative,apah1238
apah1238_15,DET,true,determiner,apah1238
apah1238_16,DIR,false,directional,apah1238
apah1238_17,DONE,false,(unclear),apah1238
apah1238_18,DS,false,different subject,apah1238
apah1238_19,EXCL,true,exclusive,apah1238
apah1238_20,EXIST,false,existential,apah1238
apah1238_21,FOC,true,focsu,apah1238
apah1238_22,FOC,true,focus,apah1238
apah1238_23,FUT,true,future,apah1238
apah1238_24,GIV,false,given,apah1238
apah1238_25,IM.FUT,false,immediate future,apah1238
apah1238_26,IM.PST,false,immediate past,apah1238
apah1238_27,INF,true,infinitive,apah1238
apah1238_28,INS,false,instrument,apah1238
apah1238_29,INTJ,false,interjection,apah1238
apah1238_30,IRR,false,irrealis,apah1238
apah1238_31,LOC,true,locative,apah1238
apah1238_32,NEG,true,negation,apah1238
apah1238_33,NR,true,nominalizer,apah1238
apah1238_34,OBJ,true,object,apah1238
apah1238_35,p ,true,plural,apah1238
apah1238_36,PART,false,participle,apah1238
apah1238_37,PN,false,personal name,apah1238
apah1238_38,PREP,false,(unclear),apah1238
apah1238_39,PRIOR,false,prior,apah1238
apah1238_40,PROG,true,progressive,apah1238
apah1238_41,PRS,true,present,apah1238
apah1238_42,PST,true,past,apah1238
apah1238_43,Q,false,question,apah1238
apah1238_44,REL,false,(unclear),apah1238
apah1238_45,REM.PST,false,remote past,apah1238
apah1238_46,RFL,true,reflexive,apah1238
apah1238_47,s,true,singular,apah1238
apah1238_48,SF,false,stem former,apah1238
apah1238_49,SS,false,same subject,apah1238
arap1274_50,0,false,"inanimate ""person""",arap1274
arap1274_51,1,false,first person,arap1274
arap1274_52,2,false,second person,arap1274
arap1274_53,3,false,third person,arap1274
arap1274_54,4,false,fourth person,arap1274
arap1274_55,12,false,first person inclusive,arap1274
arap1274_56,ADV,true,adverbial,arap1274
arap1274_57,ALLAT,true,allative,arap1274
arap1274_58,CAUS,true,causative,arap1274
arap1274_59,DEPPART,false,dependent participle,arap1274
arap1274_60,DETACH,false,detachment marker,arap1274
arap1274_61,DETACH,false,detachment marker,arap1274
arap1274_62,DUBIT,false,dubitative,arap1274
arap1274_63,EMPH,false,emphatic,arap1274
arap1274_64,EMPH,false,emphatic,arap1274
arap1274_65,FUT,true,future tense,arap1274
arap1274_66,HABIT,false,habitual,arap1274
arap1274_67,IC,false,initial change,arap1274
arap1274_68,IMPER,true,imperative,arap1274
arap1274_69,IMPERF,true,imperfective,arap1274
arap1274_70,INDEF,true,indefinite,arap1274
arap1274_71,INSTR,true,instrumental,arap1274
arap1274_72,INTENSE,false,intensifier,arap1274
arap1274_73,INTERR,false,interrogative,arap1274
arap1274_74,IRREALIS,true,irrealis,arap1274
arap1274_75,ITER,false,iterative,arap1274
arap1274_76,LOC,true,locative,arap1274
arap1274_77,MIRATIVE,false,mirative,arap1274
arap1274_78,NA,false,animate noun,arap1274
arap1274_79,NARRPAST,false,narrative past tense,arap1274
arap1274_80,NEG,true,negation,arap1274
arap1274_81,NI,false,inanimate noun,arap1274
arap1274_82,OBLIG,false,obligatory,arap1274
arap1274_83,OBV,false,obviative,arap1274
arap1274_84,PASS,true,passive,arap1274
arap1274_85,PAST,true,past tense,arap1274
arap1274_86,PERF,true,perfect,arap1274
arap1274_87,PL,true,plural,arap1274
arap1274_88,POTENT,false,potential,arap1274
arap1274_89,PROHIB,true,prohibitive,arap1274
arap1274_90,REDUP,false,reduplication,arap1274
arap1274_91,REFL/RECIP,false,reflexive/reciprocal,arap1274
arap1274_92,S,true,singular,arap1274
arap1274_93,SUBJ,true,subjunctive,arap1274
arap1274_94,SUGG,false,suggestive imperative,arap1274
arap1274_95,SUPERL,false,superlative,arap1274
arap1274_96,VENTAT,false,ventative,arap1274
bain1259_97,1,false,first person,bain1259
bain1259_98,2,false,second person,bain1259
bain1259_99,3,false,third person,bain1259
bain1259_100,Adj,true,adjective,bain1259
bain1259_101,Agr,false,agreement marker,bain1259
bain1259_102,Antc,false,anticipatory,bain1259
bain1259_103,Appl,true,applicative,bain1259
bain1259_104,AUX,true,auxiliary,bain1259
bain1259_105,Ben,true,benefactive,bain1259
bain1259_106,Caus,true,causative,bain1259
bain1259_107,Cl,false,class marker,bain1259
bain1259_108,Comp,true,complementizer,bain1259
bain1259_109,Cond,true,conditional,bain1259
bain1259_110,Conn,false,connective,bain1259
bain1259_111,Dem,true,demonstrative,bain1259
bain1259_112,Der,false,derivational affix,bain1259
bain1259_113,dist,true,distal demonstrative,bain1259
bain1259_114,Distr,true,distributive,bain1259
bain1259_115,Emp,false,(unclear),bain1259
bain1259_116,EMP,false,(unclear),bain1259
bain1259_117,Emph,false,emphasis,bain1259
bain1259_118,excl,false,exclusive,bain1259
bain1259_119,Foc,true,focus,bain1259
bain1259_120,Fut,true,future,bain1259
bain1259_121,Ger,false,gerund,bain1259
bain1259_122,Hab,false,habital,bain1259
bain1259_123,Imp,true,imperative,bain1259
bain1259_124,Inact,false,inactual tense,bain1259
bain1259_125,incl,true,inclusive,bain1259
bain1259_126,Int,false,interjection,bain1259
bain1259_127,Irr,true,irrealis,bain1259
bain1259_128,itr.,true,intransitive,bain1259
bain1259_129,Loc,true,locative,bain1259
bain1259_130,Mod,false,modal particle,bain1259
bain1259_131,NC,false,noun class,bain1259
bain1259_132,Neg,true,negation,bain1259
bain1259_133,Obj,true,object,bain1259
bain1259_134,Pass,true,passive,bain1259
bain1259_135,Perf,true,perfective,bain1259
bain1259_136,Pl,true,plural,bain1259
bain1259_137,Poss ,true,possessive,bain1259
bain1259_138,Prep,false,preposition,bain1259
bain1259_139,Pron,false,pronoun,bain1259
bain1259_140,Rec,true,reciprocal,bain1259
bain1259_141,Refl,true,reflexive,bain1259
bain1259_142,Rel,true,relative pronoun,bain1259
bain1259_143,Rev,false,reversive,bain1259
bain1259_144,Sbj,true,subject,bain1259
bain1259_145,Sg,true,singular,bain1259
bain1259_146,Sub,false,subordinating morpheme,bain1259
bain1259_147,Subj,true,subject,bain1259
bain1259_148,TAM,false,tense aspect mood,bain1259
bain1259_149,tr.,true,transitive,bain1259
bain1259_150,Ven,false,venitive,bain1259
beja1238_151,1,false,first person,beja1238
beja1238_152,2,false,second person,beja1238
beja1238_153,3,false,third person,beja1238
beja1238_154,ABL,true,ablative,beja1238
beja1238_155,ABST,false,abstract suffix,beja1238
beja1238_156,ACC,true,accusative,beja1238
beja1238_157,ACMP,false,(unclear),beja1238
beja1238_158,ADJ,true,adjective,beja1238
beja1238_159,ADJVZ,false,adjectivizer,beja1238
beja1238_160,ADJZ,false,adjectivizer,beja1238
beja1238_161,ADJZR,false,adjectivizer,beja1238
beja1238_162,ADRE,false,addressee,beja1238
beja1238_163,ADRF,false,form of address,beja1238
beja1238_164,ADVS,false,adversative,beja1238
beja1238_165,ANT,false,converb,beja1238
beja1238_166,AOR,false,aorist,beja1238
beja1238_167,ATTENU,false,(unclear),beja1238
beja1238_168,AUG,false,augmentative,beja1238
beja1238_169,CAUS,true,causative,beja1238
beja1238_170,circ,false,circumfix,beja1238
beja1238_171,CMPR,false,comparative,beja1238
beja1238_172,COLL,false,(unclear),beja1238
beja1238_173,COM,true,comitative,beja1238
beja1238_174,CONTR,false,contrastive,beja1238
beja1238_175,COORD,false,coordinative,beja1238
beja1238_176,COP,true,copula,beja1238
beja1238_177,CSL,false,casual,beja1238
beja1238_178,CVB,false,simultaneity,beja1238
beja1238_179,DAT,true,dative,beja1238
beja1238_180,DBL,false,double,beja1238
beja1238_181,DEF,true,definite,beja1238
beja1238_182,DIM,false,diminuitive,beja1238
beja1238_183,DIR,false,directional,beja1238
beja1238_184,DIST,true,distal,beja1238
beja1238_185,DISTR,true,distributive,beja1238
beja1238_186,DM,false,(unclear),beja1238
beja1238_187,EMPH,false,emphatic,beja1238
beja1238_188,EXCM,false,exclamation,beja1238
beja1238_189,F,true,female,beja1238
beja1238_190,FS,false,false start,beja1238
beja1238_191,FUTL,true,future,beja1238
beja1238_192,GEN,true,genitive,beja1238
beja1238_193,GNRL,false,general,beja1238
beja1238_194,HESIT,false,hesitation,beja1238
beja1238_195,IMP,true,imperative,beja1238
beja1238_196,INDF,true,indefinite,beja1238
beja1238_197,INT ,false,intensive,beja1238
beja1238_198,INTJ,false,interjection,beja1238
beja1238_199,IPFV,true,imperfective,beja1238
beja1238_200,L,false,linker clitic,beja1238
beja1238_201,LINK,false,(unclear),beja1238
beja1238_202,LOC,true,locative,beja1238
beja1238_203,M,true,masculine,beja1238
beja1238_204,MID,false,(unclear),beja1238
beja1238_205,MNR,false,manner,beja1238
beja1238_206,MOY,false,(unclear),beja1238
beja1238_207,N.AC,false,action noun,beja1238
beja1238_208,N.AGN,false,agent noun,beja1238
beja1238_209,NEG,true,negation,beja1238
beja1238_210,NML,false,(unclear),beja1238
beja1238_211,NMLZ,true,nominalizer,beja1238
beja1238_212,NOM,true,nominative,beja1238
beja1238_213,NREG,false,(unclear),beja1238
beja1238_214,OBJ,true,object,beja1238
beja1238_215,OPT,false,optative,beja1238
beja1238_216,ORD,false,ordinal,beja1238
beja1238_217,PASS,true,passive,beja1238
beja1238_218,PFV,true,perfective,beja1238
beja1238_219,PL,true,plural,beja1238
beja1238_220,PLAC,false,pluractional,beja1238
beja1238_221,PLC,false,(unclear),beja1238
beja1238_222,POSS,true,possessive,beja1238
beja1238_223,POT,false,potential,beja1238
beja1238_224,PROH,true,prohibitive,beja1238
beja1238_225,PROX,true,proximal,beja1238
beja1238_226,RCPT,false,recipient,beja1238
beja1238_227,RECP,true,reciprocal,beja1238
beja1238_228,REFL,true,reflexive,beja1238
beja1238_229,REL,false,relator,beja1238
beja1238_230,SEQ,false,sequential,beja1238
beja1238_231,SG,true,singular,beja1238
beja1238_232,SIMIL,false,similative,beja1238
beja1238_233,SING,false,singulative,beja1238
beja1238_234,SMLT,false,simultaneity,beja1238
beja1238_235,VBLZ,false,verbalizer,beja1238
beja1238_236,VN,false,verbonominal,beja1238
beja1238_237,VOC,true,vocative,beja1238
bora1263_238,1,false,first person,bora1263
bora1263_239,2,false,second person,bora1263
bora1263_240,3,false,third person,bora1263
bora1263_241,ABL,true,ablative case,bora1263
bora1263_242,ACC,true,accusative case,bora1263
bora1263_243,AFIR,false,affirmative,bora1263
bora1263_244,ALL,true,allative case,bora1263
bora1263_245,ANIM,false,animate,bora1263
bora1263_246,AUG,false,augmentative,bora1263
bora1263_247,BEN,true,benefactive case,bora1263
bora1263_248,CAUS,true,causative,bora1263
bora1263_249,CLF,true,classifier,bora1263
bora1263_250,CMPV,false,comparative,bora1263
bora1263_251,CON,false,sentence connector,bora1263
bora1263_252,COND,true,conditional,bora1263
bora1263_253,COP,true,copula,bora1263
bora1263_254,DIM,false,diminutitive,bora1263
bora1263_255,DIR,false,directional,bora1263
bora1263_256,DU,true,dual,bora1263
bora1263_257,EXCL,true,exclusive,bora1263
bora1263_258,F,true,feminine,bora1263
bora1263_259,FRUS,false,frustrative,bora1263
bora1263_260,FUT,true,future,bora1263
bora1263_261,HAB,false,habitual,bora1263
bora1263_262,IFR,false,inferential evidentiality,bora1263
bora1263_263,IMP,true,imperative,bora1263
bora1263_264,INAN,false,inanimate,bora1263
bora1263_265,INST,true,instrumental,bora1263
bora1263_266,INTER,false,interrogative,bora1263
bora1263_267,INTR LOC,false,intransitive locative case,bora1263
bora1263_268,M,true,masculine,bora1263
bora1263_269,MULT,false,multiple action,bora1263
bora1263_270,NEG,true,negation,bora1263
bora1263_271,NMZ,true,nominalizer,bora1263
bora1263_272,PERF,true,perfective,bora1263
bora1263_273,PERT,false,pertaining to,bora1263
bora1263_274,PL,true,plural,bora1263
bora1263_275,PN,false,third person pronoun,bora1263
bora1263_276,POSS,true,possessive,bora1263
bora1263_277,PRED,false,predicate,bora1263
bora1263_278,PROB,false,probability,bora1263
bora1263_279,PROX,true,proximal,bora1263
bora1263_280,PURP,true,purposive,bora1263
bora1263_281,Q,false,interrogative particle,bora1263
bora1263_282,Q!TOT,true,quotative,bora1263
bora1263_283,REC,false,recent past,bora1263
